Trajectories
100
,,Edgar Vergara:LASI,,,Edgar Vergara:RASI,,,Edgar Vergara:LPSI,,,Edgar Vergara:RPSI,,,Edgar Vergara:Placa PI1,,,Edgar Vergara:Placa PI2,,,Edgar Vergara:Placa PI3,,,Edgar Vergara:Placa PI4,,,Edgar Vergara:Placa PD1,,,Edgar Vergara:Placa PD2,,,Edgar Vergara:Placa PD3,,,Edgar Vergara:Placa PD4,,,Edgar Vergara:Placa MI1,,,Edgar Vergara:Placa MI2,,,Edgar Vergara:Placa MI3,,,Edgar Vergara:Placa MI4,,,Edgar Vergara:Placa MD1,,,Edgar Vergara:Placa MD2,,,Edgar Vergara:Placa MD3,,,Edgar Vergara:Placa MD4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
154,0,-45.1304,257.949,919.684,179.154,279.127,921.537,,,,120.868,99.0233,950.067,,,,,,,,,,,,,,,,,,,,,,,,,-84.9481,183.255,911.708,-105.008,181.357,635.193,-88.1521,150.153,483.298,-109.195,105.153,326.031,228.972,218.964,933.961,248.368,229.434,626.268,233.775,194.321,488.436,256.017,161.347,337.958
155,0,-44.7465,257.79,919.832,179.62,278.697,921.689,37.8903,92.3311,952.124,121.04,98.5564,949.862,,,,,,,,,,,,,,,,,,,,,,,,,-84.6874,183.146,911.54,-104.829,181.829,635.21,-88.2774,150.902,483.054,-109.293,105.556,325.961,229.421,218.306,933.896,248.736,229.382,626.271,234.062,194.676,488.389,256.138,161.625,337.99
156,0,-43.9911,257.537,919.987,180.254,278.157,921.952,37.6165,92.025,951.694,121.28,98.0647,949.683,,,,,,,,,,,,,,,,,,,,,,,,,-83.7285,182.944,911.938,-104.566,182.317,635.366,-88.2605,151.455,483.148,-109.178,106.046,326.14,229.933,217.728,933.897,249.221,229.301,626.311,234.303,194.948,488.523,256.306,161.692,337.934
157,0,-43.28,257.381,920.073,180.977,277.555,922.231,37.9593,91.7094,951.431,121.567,97.6584,949.302,,,,,,,,,,,,,,,,,,,,,,,,,-83.2341,182.738,911.938,-104.209,182.978,635.601,-88.2065,152.2,483.199,-109.486,106.662,326.017,230.681,216.847,933.842,249.606,229.074,626.417,234.55,194.98,488.609,256.544,161.609,337.836
158,0,-42.6448,257.275,920.362,181.712,276.929,922.449,38.4138,91.4568,951.377,121.762,97.1736,949.114,,,,,,,,,,,,,,,,,,,,,,,,,-82.8271,182.699,911.907,-103.815,183.608,635.817,-88.27,152.993,483.095,-109.476,107.4,326.32,231.149,216.237,933.913,249.973,228.782,626.439,234.849,194.736,488.648,256.98,161.322,337.632
159,0,-42.0101,257.129,920.635,182.294,276.359,922.593,39.2576,90.6507,950.597,122.197,96.6577,949.034,,,,,,,,,,,,,,,,,,,,,,,,,-82.4339,182.665,911.995,-103.422,184.392,636.022,-88.4719,153.851,483.108,-109.407,108.04,326.316,231.779,215.603,933.959,250.281,228.421,626.361,235.27,194.309,488.675,257.241,161.054,337.607
160,0,-41.2853,256.97,920.868,183.36,275.643,922.65,39.4423,90.5604,950.969,122.876,96.0404,949.032,,,,,,,,,,,,,,,,,,,,,,,,,-81.777,182.657,912.231,-102.923,185.064,636.141,-88.3245,154.803,483.589,-109.473,108.643,326.2,232.635,214.794,934.218,250.705,228.022,626.386,235.768,193.792,488.643,257.539,160.768,337.658
161,0,-40.3347,256.688,921.21,184.328,274.958,923.014,40.1509,90.0589,951.001,123.385,95.401,948.982,,,,,,,,,,,,,,,,,,,,,,,,,-80.8917,182.602,912.407,-102.436,185.803,636.212,-88.1854,155.612,483.53,-109.765,109.356,326.021,233.454,214.077,934.325,251.198,227.451,626.406,236.228,193.314,488.599,257.67,160.621,337.553
162,0,-39.3476,256.478,921.455,185.042,274.281,923.112,41.3444,89.579,951.489,123.732,94.8692,948.711,,,,,,,,,,,,,,,,,,,,,,,,,-80.2443,182.445,912.526,-101.828,186.496,636.343,-88.0429,156.404,483.573,-109.471,110.357,326.21,234.353,213.231,934.519,251.65,226.725,626.507,236.834,192.766,488.591,257.91,160.357,337.55
163,0,-38.4357,256.269,921.636,186.272,273.247,923.175,41.2319,89.0851,950.958,124.323,94.1212,948.485,,,,,,,,,,,,,,,,,,,,,,,,,-79.6893,182.265,912.493,-101.276,187.376,636.58,-87.9759,157.647,483.767,-109.476,111.166,326.062,235.211,212.247,934.487,252.187,226.015,626.572,237.344,192.296,488.513,258.167,160.125,337.463
164,0,-37.4153,255.727,921.795,187.129,272.28,923.168,41.9002,88.4381,950.82,125.028,93.1945,948.409,,,,,,,,,,,,,,,,,,,,,,,,,-79.1003,182.079,912.418,-100.852,188.13,636.802,-88.0534,158.815,483.844,-109.392,112.054,325.93,236.149,211.131,934.429,252.698,225.569,626.332,237.706,191.989,488.597,258.48,159.866,337.449
165,0,-36.4092,255.179,922.067,188.287,271.146,923.271,42.7542,87.5298,950.44,125.507,92.4189,948.42,,,,,,,,,,,,,,,,,,,,,,,,,-78.3214,181.664,912.648,-100.419,188.874,636.872,-88.2018,160.112,483.582,-109.515,113.386,326.016,237.082,209.993,934.304,253.313,224.855,626.512,238.357,191.439,488.471,258.685,159.55,337.333
166,0,-35.3847,254.902,922.379,189.206,270.225,923.448,43.2956,86.8663,950.928,126.079,91.3924,948.457,,,,,,,,,,,,,,,,,,,,,,,,,-77.3623,181.086,912.684,-99.8801,189.687,636.929,-88.2745,161.289,483.52,-109.476,114.44,326.318,238.141,208.667,934.277,254.201,224.035,626.641,238.841,190.932,488.354,259.349,159.14,336.995
167,0,-34.1249,254.077,922.609,190.466,268.861,923.632,43.9083,85.9122,950.578,126.85,90.2288,948.16,,,,,,,,,,,,,,,,,,,,,,,,,-76.4545,180.696,912.826,-99.3834,190.359,637.046,-87.824,162.612,483.282,-109.48,115.508,326.424,239.393,207.182,934.897,254.81,223.329,626.317,239.379,190.401,488.396,259.951,158.617,336.556
168,0,-33.0675,253.119,922.753,191.478,267.551,923.664,44.4424,85.2595,950.316,127.494,89.235,947.847,,,,,,,,,,,,,,,,,,,,,,,,,-75.8364,180.07,912.762,-98.8776,191.123,637.031,-88.1242,164.188,483.402,-109.511,116.587,326.375,240.175,205.884,934.679,255.282,222.486,626.335,239.961,189.88,488.379,260.178,158.19,336.313
169,0,-31.9288,252.338,922.916,192.793,266.13,923.836,45.4787,83.8988,950.292,128.387,87.8465,947.853,,,,,,,,,,,,,,,,,,,,,,,,,-74.5106,179.076,912.847,-98.4574,191.766,637.185,-88.1306,165.949,483.545,-109.392,117.833,326.272,241.37,204.198,934.528,256.272,221.469,626.266,240.608,189.254,488.131,260.285,157.94,336.314
170,0,-30.8455,251.193,923.159,193.822,264.706,923.847,46.0699,82.7296,950.018,129.18,86.7368,947.566,,,,,,,,,,,,,,,,,,,,,,,,,-73.6891,178.209,912.928,-97.9626,192.452,637.418,-88.0569,167.34,483.452,-109.499,119.249,326.204,242.418,202.745,934.615,256.818,220.811,626.384,241.082,188.706,487.893,260.465,157.762,336.279
171,0,-29.769,250.025,923.363,195.236,263.079,923.994,47.4242,81.4792,950.466,130.105,85.3618,947.312,,,,,,,,,,,,,,,,,,,,,,,,,-72.5271,176.964,912.846,-97.5051,192.966,637.624,-88.0154,168.678,483.28,-109.71,120.753,326.205,243.65,201.091,934.719,257.619,219.941,626.258,241.824,188.017,488.031,260.804,157.384,336.186
172,0,-28.7805,248.543,923.544,196.171,261.845,924.13,48.5225,80.1173,950.491,131.097,83.952,947.278,,,,,,,,,,,,,,,,,,,,,,,,,-71.5149,175.725,913.097,-97.2012,193.404,637.677,-88.3274,170.365,482.974,-109.472,122,326.146,244.797,199.641,934.617,258.463,218.969,626.14,241.865,187.941,487.957,261.16,157.054,336.014
173,0,-27.6652,247.238,923.599,197.498,260.089,924.162,49.6462,78.5847,949.887,131.972,82.7475,947.13,,,,,,,,,,,,,,,,,,,,,,,,,-70.4604,174.191,913.156,-96.7522,193.8,637.741,-88.5858,172.412,483.284,-109.508,123.332,326.368,245.879,197.723,934.744,259.085,217.953,626.055,242.259,187.452,487.757,261.712,156.668,335.79
174,0,-26.6939,245.721,923.715,198.615,258.629,924.154,50.6311,77.349,950.489,133.124,81.2701,947.21,,,,,,,,,,,,,,,,,,,,,,,,,-69.6061,172.79,913.272,-96.4132,194.053,637.788,-87.9532,173.658,483.301,,,,247.061,196.491,934.495,259.817,217.149,625.99,242.769,186.958,487.678,262.283,156.25,335.527
175,0,-25.6404,244.141,923.755,199.698,257.094,924.122,51.6821,76.0883,950.83,134.14,80.0069,947.438,,,,,,,,,,,,,,,,,,,,,,,,,-68.2781,171.086,913.504,-96.1999,194.2,637.783,-88.2906,175.442,483.37,-109.814,126.139,326.741,248.164,194.868,934.788,260.791,216.21,626.155,243.625,186.284,487.624,262.683,155.895,335.309
176,0,-24.6121,242.67,923.917,200.795,255.751,924.17,52.9993,74.6767,951.113,135.307,78.6611,947.831,,,,,,,,,,,,,,,,,,,,,,,,,-67.1206,169.298,913.633,-95.8874,194.304,637.91,-88.534,177.194,483.284,-109.331,127.556,327.291,249.07,193.325,934.702,261.536,215.227,625.996,244.362,185.59,487.678,262.819,155.652,335.252
177,0,-23.6699,240.84,923.884,201.779,254.26,923.967,54.2779,73.2175,951.752,136.559,77.2817,948.236,,,,,,,,,,,,,,,,,,,,,,,,,-66.1306,167.714,913.77,-95.6523,194.34,638.074,-88.1622,178.812,483.667,-109.349,128.757,327.614,250.119,191.9,934.787,262.191,214.106,625.833,245.087,184.748,487.459,263.036,155.2,335.205
178,0,-22.8544,239.138,924.088,202.575,252.771,923.919,55.5533,71.7385,952.323,137.741,76.1125,948.448,,,,,,,,,,,,,,,,,,,,,,,,,-64.8529,165.924,914.251,-95.2702,194.32,638.323,-88.4757,180.496,483.797,-109.333,130.162,327.798,250.904,190.593,934.698,263.257,212.871,625.969,245.456,183.874,487.266,263.519,154.68,334.943
179,0,-21.8435,237.332,924.13,203.49,251.521,923.794,,,,139.168,74.6231,949.121,,,,,,,,,,,,,,,,,,,,,,,,,-64.0618,164.037,914.345,-95.1204,194.218,638.598,-88.4701,182.48,484.246,-109.437,131.631,328.508,251.969,189.385,934.793,263.688,211.829,625.805,245.997,183.109,487.417,263.841,154.056,334.919
180,0,-21.0535,235.602,924.422,204.126,250.13,923.602,58.0299,68.6565,953.769,140.173,73.3324,949.607,,,,,,,,,,,,,,,,,,,,,,,,,-62.8555,162.097,914.872,-94.7719,194.154,639.053,-88.5026,184.353,484.452,-109.19,133.176,328.883,252.727,188.257,934.905,264.692,210.412,625.881,246.396,182.109,487.287,264.484,153.328,334.798
181,0,-20.0484,233.824,924.479,205.126,248.718,923.558,59.2768,67.2982,954.666,141.461,72.0479,950.227,,,,,,,,,,,,,,,,,,,,,,,,,-61.8654,160.141,915.325,-94.5163,194.169,639.539,-88.5605,186.379,485.017,-109.256,134.706,329.46,253.927,186.957,934.831,265.083,209.351,626.056,246.577,181.049,487.222,264.767,152.708,334.518
182,0,-19.4062,231.811,924.739,205.561,247.617,923.283,60.4234,65.5635,955.23,142.771,70.6159,950.96,,,,,,,,,,,,,,,,,,,,,,,,,-60.9978,158.35,915.539,-94.3696,194.229,639.992,-88.7605,188.583,485.457,-109.44,136.469,330.266,254.639,185.891,934.821,265.644,207.979,625.773,247.143,179.876,487.115,264.801,152.047,334.568
183,0,-18.5087,229.763,925.075,206.483,246.122,923.122,61.6428,64.1416,955.78,143.938,69.4129,951.474,,,,,,,,,,,,,,,,,,,,,,,,,-59.84,156.276,916.322,-94.3043,194.359,640.316,-88.6387,190.628,486.057,-109.551,138.328,330.924,255.509,184.68,934.642,266.371,206.582,625.604,247.706,178.669,487.42,265.046,151.149,334.256
184,0,-17.6384,227.892,925.302,207.208,245.012,922.8,63.0886,62.2851,956.467,145.272,67.9844,951.966,,,,,,,,,,,,,,,,,,,,,,,,,-59.0948,154.362,916.542,-94.2787,194.569,640.692,-89.194,193.395,487.082,-109.389,140.194,331.954,256.427,183.494,934.634,266.863,205.404,625.449,248.115,177.531,487.082,265.217,150.329,333.95
185,0,-16.8904,225.898,925.369,207.946,243.653,922.57,64.5025,60.8126,957.195,146.5,66.6804,952.351,,,,,,,,,,,,,,,,,,,,,,,,,-58.0814,152.367,917.187,-94.5605,194.831,640.987,-89.5714,195.481,487.434,-109.887,142.064,332.977,257.241,182.614,934.673,267.206,204.267,625.509,248.727,176.44,487.038,265.768,149.582,333.83
186,0,-16.135,224.035,925.537,208.782,242.393,922.323,65.8904,59.0926,957.771,147.821,65.3914,952.754,,,,,,,,,,,,,,,,,,,,,,,,,-56.9679,150.249,917.984,-94.9337,195.434,641.715,-90.4762,198.262,488.54,-110.193,144.204,334.011,258.237,181.327,934.313,268.072,203.162,625.267,249.515,175.214,487.135,266.174,148.764,333.652
187,0,-15.3411,221.966,926.029,209.305,241.18,921.845,67.115,57.6417,958.293,148.963,64.2356,953.062,,,,,,,,,,,,,,,,,,,,,,,,,-56.2084,148.327,918.345,-94.9893,196.13,642.651,-90.8823,200.649,489.243,-110.566,146.569,334.92,259.082,180.25,934.029,268.521,202.096,625.083,249.568,174.236,486.801,266.563,148.01,333.163
188,0,-14.6025,220.061,926.211,209.985,239.973,921.472,68.54,55.914,958.893,150.382,62.7612,953.495,,,,,,,,,,,,,,,,,,,,,,,,,-55.1416,146.25,918.925,-95.1021,196.773,643.306,-91.2953,203.444,490.387,-110.827,148.936,336.265,259.94,179.335,933.746,269.047,201.138,624.703,249.787,173.299,486.586,266.76,147.4,332.855
189,0,-14.0637,218.107,926.578,210.724,238.786,921.02,69.9625,54.2737,959.485,151.414,61.8037,953.578,,,,,,,,,,,,,,,,,,,,,,,,,-54.0487,144.172,919.63,-95.4333,197.482,643.781,-92.214,206.307,491.144,-111.273,151.225,337.188,260.663,178.383,933.516,269.578,200.421,624.571,250.249,172.61,486.286,266.934,146.946,332.621
190,0,-13.296,216.004,926.816,211.25,237.756,920.472,71.1711,52.8154,959.896,152.801,60.5533,953.865,,,,,,,,,,,,,,,,,,,,,,,,,-53.234,142.33,920.099,-95.856,198.512,644.747,-92.2488,209.217,492.247,-111.137,153.914,338.56,261.34,177.357,933.063,269.86,199.603,624.541,250.659,171.768,486.246,267.074,146.566,332.363
191,0,-12.721,214.309,926.901,211.804,236.683,920.079,72.3963,51.3197,960.284,153.736,59.476,954.159,,,,,,,,,,,,,,,,,,,,,,,,,-52.513,140.495,920.432,-96.0717,199.488,645.666,-93.2035,212.22,492.998,-111.051,156.581,339.528,261.806,176.541,932.697,270.116,198.867,624.348,251.077,171.016,485.953,267.519,146.162,332.179
192,0,-11.8788,212.695,926.087,212.518,235.836,919.528,73.7434,49.9002,960.619,154.89,58.32,954.592,,,,,,,,,,,,,,,,,,,,,,,,,-51.8233,138.749,920.947,-96.2652,200.234,646.105,-93.0557,214.963,493.673,-111.955,159.322,339.929,262.584,175.719,932.463,270.493,198.237,623.796,251.269,170.463,485.754,267.693,145.779,332.089
193,0,-11.2948,211.028,926.135,212.739,234.754,919.134,74.6408,48.5786,961.118,155.675,57.4696,954.845,,,,,,,,,,,,,,,,,,,,,,,,,-51.0567,136.953,921.281,-96.2702,201.16,646.61,-93.13,217.874,494.715,-110.919,162.135,341.321,263.021,175.075,932.333,270.493,197.779,623.518,251.366,170.134,485.607,267.787,145.51,331.905
194,0,-10.9685,209.385,926.129,212.942,234,918.801,75.6001,47.27,961.467,156.642,56.3941,955.219,,,,,,,,,,,,,,,,,,,,,,,,,-50.5372,135.277,921.596,-96.1273,201.911,647.266,-92.7553,220.273,495.339,-111.183,164.784,341.792,263.312,174.456,932.031,270.876,197.17,623.43,251.591,169.804,485.47,268.073,145.25,331.704
195,0,-10.5639,207.715,926.208,213.025,233.227,918.543,76.1181,46.4184,961.696,157.18,55.5903,955.373,,,,,,,,,,,,,,,,,,,,,,,,,-50.1126,133.883,921.589,-96.0021,202.773,647.821,-92.7589,222.802,495.842,-110.237,167.138,342.712,263.693,173.748,931.868,271.242,196.537,623.313,251.761,169.538,485.301,268.419,145.08,331.563
196,0,-10.4775,206.74,926.066,213.067,232.388,918.181,76.7635,45.1944,961.877,157.74,54.8438,955.669,,,,,,,,,,,,,,,,,,,,,,,,,-49.4296,132.534,921.885,-95.6652,203.266,648.111,-92.201,224.806,496.5,-109.184,169.016,343.645,264.076,173.111,931.886,271.436,195.931,623.327,251.968,169.224,485.176,268.573,144.9,331.239
197,0,-10.416,205.576,926.164,213.241,231.602,917.948,77.2909,44.3428,962.117,158.277,54.1663,955.785,,,,,,,,,,,,,,,,,,,,,,,,,-49.2644,131.406,921.837,-95.3024,203.57,648.14,-91.5055,226.342,496.89,-108.254,170.332,343.852,264.43,172.509,931.722,271.624,195.446,623.318,252.16,168.912,485.196,268.621,144.702,331.032
198,0,-10.1835,204.758,926.023,213.505,231.182,917.839,77.5199,43.8654,962.223,158.487,53.6155,955.938,,,,,,,,,,,,,,,,,,,,,,,,,-49.2081,130.667,921.861,-94.8129,203.779,648.136,-90.6835,227.405,497.214,-107.187,171.294,344.152,264.426,172.057,931.635,271.73,195.015,623.264,252.376,168.503,485.096,268.778,144.503,330.853
199,0,-10.0967,203.895,926.004,213.665,230.631,917.562,77.7611,43.3471,962.415,158.589,53.0921,956.033,,,,,,,,,,,,,,,,,,,,,,,,,-49.2319,130.226,921.744,-94.3259,203.841,648.216,-90.2121,228.267,497.175,-105.873,171.97,344.2,264.394,171.503,931.511,271.681,194.587,623.322,252.635,168.145,485.026,268.821,144.366,330.747
200,0,-10.4188,203.246,926.454,213.756,230.261,917.409,77.8714,42.8722,962.81,158.581,52.7238,956.166,,,,,,,,,,,,,,,,,,,,,,,,,-49.1713,129.73,921.939,-93.9377,203.798,648.253,-89.3466,228.635,497.358,-104.406,172.446,344.064,264.496,171.057,931.407,271.713,194.231,623.378,252.663,167.959,484.915,268.789,144.261,330.615
201,0,-10.3517,202.924,926.359,213.745,229.904,917.276,77.8928,42.5535,963.155,158.539,52.4862,956.389,,,,,,,,,,,,,,,,,,,,,,,,,-49.19,129.492,922.214,-93.5033,203.755,648.258,-88.343,228.806,497.201,-102.84,173.336,343.811,264.552,170.69,931.254,271.9,193.796,623.309,252.751,167.813,484.827,268.816,144.228,330.534
202,0,-10.3453,202.769,926.395,213.654,229.79,917.36,77.867,42.2991,963.412,158.441,52.2911,956.657,,,,,,,,,,,,,,,,,,,,,,,,,-49.2333,129.508,922.52,-92.969,203.533,647.955,-87.1139,228.536,496.827,-101.45,174.389,342.818,264.536,170.403,931.155,271.889,193.434,623.311,252.772,167.751,484.873,268.866,144.287,330.537
203,0,-10.3669,202.766,926.47,213.557,229.409,917.14,77.7436,42.1583,963.788,158.279,52.2542,956.982,,,,,,,,,,,,,,,,,,,,,,,,,-49.4525,129.602,922.743,-92.3416,203.426,647.725,-86.1339,228.331,496.476,-100.047,175.345,341.837,264.342,170.233,931.236,271.789,193.222,623.409,252.755,167.729,484.99,268.775,144.291,330.665
204,0,-10.4922,202.774,926.541,213.352,229.275,917.183,77.5041,42.1651,964.153,158.044,52.2287,957.223,,,,,,,,,,,,,,,,,,,,,,,,,-49.6849,129.857,923.107,-91.6537,203.331,647.51,-85.0524,227.964,495.945,-97.8572,176.054,340.797,264.158,170.071,931.267,271.615,193.055,623.379,252.652,167.746,484.988,268.703,144.326,330.638
205,0,-10.6253,202.84,926.577,213.152,229.2,917.196,77.1595,42.3083,964.616,157.768,52.2243,957.54,,,,,,,,,,,,,,,,,,,,,,,,,-50.2767,130.194,923.234,-90.8487,203.371,647.302,-83.2338,227.228,495.26,-96.261,177.14,339.348,263.891,169.964,931.247,271.336,192.96,623.503,252.563,167.669,485.115,268.669,144.344,330.719
206,0,-10.974,202.934,926.62,212.759,229.174,917.231,76.6914,42.5157,965.091,157.393,52.329,957.716,,,,,,,,,,,,,,,,,,,,,,,,,-50.6133,130.483,923.501,-90.0781,203.329,646.922,-81.5688,226.484,494.163,-94.6968,177.89,337.241,263.67,169.944,931.317,271.132,192.806,623.448,252.434,167.629,485.2,268.632,144.248,330.825
207,0,-11.4867,203.191,926.524,212.271,229.255,917.255,76.1344,42.9225,965.327,156.854,52.6317,957.99,,,,,,,,,,,,,,,,,,,,,,,,,-51.2132,130.853,923.599,-89.0273,203.23,646.466,-79.9727,225.644,493.321,-91.7816,178.281,336.313,263.257,170.087,931.357,270.804,192.702,623.504,252.257,167.536,485.24,268.523,144.228,330.891
208,0,-12.1743,203.665,926.454,211.696,229.501,917.338,75.4428,43.2694,965.464,156.185,53.0054,958.272,,,,,,,,,,,,,,,,,,,,,,,,,-52.083,131.41,923.551,-87.948,203.22,645.951,-77.5547,224.521,492.296,-90.06,178.312,334.389,262.641,170.428,931.492,270.494,192.626,623.469,251.949,167.586,485.307,268.386,144.207,331.066
209,0,-12.6154,204.106,926.334,211.045,229.747,917.322,74.655,43.65,965.574,155.541,53.2592,958.468,,,,,,,,,,,,,,,,,,,,,,,,,-52.7397,132.058,923.625,-86.5533,203.155,645.133,-75.0141,223.376,491.451,-87.5694,178.052,332.704,262.037,170.777,931.613,270.135,192.637,623.539,251.555,167.666,485.399,268.336,144.197,331.198
210,0,-13.0055,204.703,926.14,210.353,230.125,917.391,73.7807,44.1525,965.843,154.755,53.559,958.698,,,,,,,,,,,,,,,,,,,,,,,,,-53.2639,132.832,923.554,-85.3712,203.115,644.36,-75.1707,221.97,488.496,-85.1127,177.375,330.935,261.257,171.094,931.814,269.851,192.706,623.501,251.13,167.82,485.383,268.172,144.277,331.257
211,0,-13.7612,205.23,925.765,209.541,230.365,917.349,72.7405,44.7949,965.839,153.717,54.0603,958.807,,,,,,,,,,,,,,,,,,,,,,,,,-54.1307,133.714,923.269,-83.8214,202.617,642.989,-71.5355,220.177,488.101,-82.7691,176.537,329.448,260.626,171.348,931.947,269.483,192.882,623.575,250.66,168.023,485.309,267.996,144.359,331.507
212,0,-14.5775,206.027,925.331,208.961,230.704,917.448,71.6909,45.3168,965.63,152.616,54.5396,958.854,,,,,,,,,,,,,,,,,,,,,,,,,-55.1882,134.798,922.68,-82.6696,202.282,641.752,-69.2227,218.377,487.124,-80.6559,175.282,327.676,259.898,171.656,932.066,268.844,193.29,623.581,250.31,168.318,485.334,267.811,144.532,331.614
213,0,-14.9895,207.01,924.793,208.278,231.252,917.683,70.4445,46.074,965.343,151.593,54.9172,958.736,,,,,,,,,,,,,,,,,,,,,,,,,-55.6571,135.824,922.42,-81.548,201.907,640.791,-66.7192,216.043,485.825,-78.681,173.742,326.132,259.091,171.922,932.041,268.245,193.894,623.629,250.045,168.713,485.505,267.609,144.702,331.759
214,0,-16.1362,207.895,924.191,207.657,231.704,917.689,69.2106,46.7307,964.81,150.344,55.5068,958.453,,,,,,,,,,,,,,,,,,,,,,,,,-57.1949,136.986,920.872,-80.518,200.9,639.006,-64.6822,213.57,484.329,-76.1305,172.091,324.527,257.756,172.286,932.288,267.847,194.461,623.753,250.009,169.111,485.644,267.483,145.055,331.848
215,0,-16.7824,209.115,923.461,206.932,232.135,917.774,67.6017,47.6483,964.267,149.016,56.0327,958.341,,,,,,,,,,,,,,,,,,,,,,,,,-57.4019,137.842,919.853,-79.5738,199.859,637.596,-62.9104,210.849,482.682,-74.2809,170.425,322.551,257.192,172.617,932.587,267.584,194.992,623.943,249.9,169.705,485.778,267.448,145.484,331.907
216,0,-17.4067,210.157,922.242,206.347,232.442,917.833,66.0904,48.6678,963.576,147.651,56.5853,958.197,,,,,,,,,,,,,,,,,,,,,,,,,-58.3951,139.112,918.809,-78.6416,198.243,635.632,-61.5111,207.847,480.861,-72.8824,168.2,320.502,256.369,173.032,933.159,267.238,195.805,624.042,249.48,170.596,485.817,267.451,146.023,331.878
217,0,-18.3,211.502,921.212,205.615,232.789,917.817,64.8689,49.5497,962.894,146.219,57.1911,957.754,,,,,,,,,,,,,,,,,,,,,,,,,-58.7935,140.055,917.529,-78.1378,196.655,634.307,-60.099,204.841,479.35,-70.9666,165.488,319.591,255.61,173.324,933.324,266.676,196.591,623.876,248.983,171.468,485.395,267.034,146.706,331.939
218,0,-18.8474,212.587,920.451,204.756,233.313,917.819,63.5554,50.5004,962.173,145.117,57.6587,957.415,,,,,,,,,,,,,,,,,,,,,,,,,-59.9562,141.113,915.756,-77.6659,194.289,632.305,-58.3433,201.675,478.127,-69.6522,162.827,318.037,254.934,173.78,933.475,266.408,197.25,623.834,248.745,172.266,485.398,266.834,147.185,331.926
219,0,-19.7999,213.661,919.342,203.868,233.782,917.985,62.1515,51.2555,961.419,143.773,58.2365,957.102,,,,,,,,,,,,,,,,,,,,,,,,,-60.9077,142.056,914.46,-77.1775,192.029,630.866,-57.6183,198.683,477.5,-68.508,160.375,317.028,254.241,174.271,933.649,265.912,198.211,624.057,248.492,173.365,485.545,266.733,148.167,332.029
220,0,-20.3424,214.556,918.59,203.164,233.923,918.143,,,,142.878,58.4342,957.195,,,,,,,,,,,,,,,,,,,,,,,,,-61.2816,142.415,913.678,-76.7171,189.802,629.912,-56.8093,195.749,476.906,-68.3172,158.452,316.043,253.342,174.415,933.924,265.782,199.127,624.033,247.791,174.514,485.374,266.508,149.254,332.535
221,0,-20.8792,215.398,917.996,202.609,234.174,918.414,59.9571,52.2672,960.616,142.046,58.7524,957.255,,,,,,,,,,,,,,,,,,,,,,,,,-62.595,142.943,912.447,-76.505,187.928,629.674,-56.0816,193.49,476.864,-68.1372,157.116,315.451,252.889,174.686,934.273,265.165,200.055,624.252,247.154,175.879,485.441,266.321,150.048,332.659
222,0,-21.7384,215.799,917.684,201.772,234.23,918.566,59.0631,52.6562,961.081,141.273,59.0329,957.327,,,,,,,,,,,,,,,,,,,,,,,,,-62.9409,143.051,912.632,-76.1311,186.16,629.237,-56.5779,192.158,476.722,-68.2521,156.51,315.4,251.576,175.021,934.51,264.69,200.993,624.274,247.055,177.132,485.728,265.803,151.018,332.971
223,0,-22.5803,216.109,917.662,201.141,234.208,918.665,58.4873,52.8242,961.382,140.651,59.1734,957.718,,,,,,,,,,,,,,,,,,,,,,,,,-63.4061,142.785,912.77,-76.2065,185.254,629.569,-56.5653,191.747,477.128,-68.7517,156.331,315.757,251.1,174.977,935.116,264.421,201.949,624.452,246.466,178.561,485.996,265.531,152.058,333.3
224,0,-23.1794,216.163,918.108,200.569,233.951,918.831,57.9409,53.0016,961.765,139.938,59.152,958.502,,,,,,,,,,,,,,,,,,,,,,,,,-63.8105,142.451,913.11,-76.7177,184.973,629.808,-56.7201,191.281,477.684,-69.4053,156.332,315.754,250.539,175.035,935.697,264.033,202.673,624.716,246.024,179.981,486.077,265.212,152.88,333.654
225,0,-23.7116,216.077,918.469,199.69,233.404,918.897,57.2695,53.0543,962.273,139.379,59.1622,959.054,,,,,,,,,,,,,,,,,,,,,,,,,-64.1163,142.16,913.683,-77.3604,185.051,630.242,-57.0139,190.858,477.923,-70.0744,156.302,315.757,249.898,174.71,936.084,263.57,203.578,624.865,245.845,181.358,486.235,264.986,154.024,334.083
