Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
4.08,103,0,98.2946251,932.0156374,0,54.55828471,885.1311122,0,187.2138005,849.7930321,0,143.5642043,802.2784685,0,306.0532728,561.0129371,0,245.1768686,581.1397744,0,268.5409442,445.8608561,0,207.1284851,465.6454681
4.12,104,0,95.73533266,926.5280987,0,49.7810869,881.8153101,0,180.5708166,840.0982588,0,134.6727202,794.7519717,0,293.5984295,545.2633023,0,232.3901391,564.3570541,0,258.0401761,429.4928952,0,196.301699,448.235399
4.16,105,0,92.91344852,921.1708579,0,44.84900629,878.734605,0,173.4664012,830.7363602,0,125.4273818,787.6646337,0,280.4055851,530.2755461,0,218.8829389,548.3307439,0,246.811591,413.9199699,0,184.7647781,431.6149977
4.2,106,0,89.83558669,915.9564716,0,39.77360284,875.8962177,0,165.9172056,821.729279,0,115.8498587,781.0330658,0,266.5100975,516.0846376,0,204.6907157,533.0961102,0,234.8899841,399.177217,0,172.5526058,415.8197009
4.24,107,0,86.50896116,910.8971612,0,34.56677244,873.3068008,0,157.9409241,813.0981263,0,105.9625988,774.8728113,0,251.9489735,502.7237532,0,189.8505615,518.6866286,0,222.311797,385.297971,0,159.701707,400.8831445
4.28,108,0,82.94136896,906.0047851,0,29.240719,870.9724234,0,149.5562515,804.863132,0,95.78877619,769.198309,0,236.760781,490.2241992,0,174.4011239,505.1339054,0,209.1150295,372.3136866,0,146.2501595,386.837086
4.32,109,0,79.14117193,901.29081,0,23.80792589,868.898557,0,140.7828402,797.0435976,0,85.35223666,764.0228587,0,220.9855569,478.6153381,0,158.3825148,492.467605,0,195.3391482,360.2538651,0,132.2375031,373.7113308
4.36,110,0,75.11727708,896.7662847,0,18.28112664,867.0900624,0,131.6412535,789.6578506,0,74.67744162,759.3585909,0,204.6647124,467.9245197,0,141.8362151,480.7153799,0,181.0249919,349.1459855,0,117.7046442,361.5336634
4.4,111,0,70.87911573,892.441814,0,12.67327514,865.5511783,0,122.1529177,782.7232022,0,63.78941099,755.2164379,0,187.8409345,458.1770175,0,124.8049764,469.9028077,0,166.2146727,339.0154408,0,102.6937575,350.3297828
4.44,112,0,66.4366214,888.3275337,0,6.997515217,864.2855116,0,112.340072,776.2559057,0,52.71366444,751.606108,0,170.5580849,449.3959687,0,107.3327197,460.0533306,0,150.9514756,329.8854778,0,87.2481856,340.1232435
4.48,113,0,61.80020656,884.4330869,0,1.267149897,863.2960289,0,102.2257158,770.2711196,0,41.47616164,748.5360635,0,152.8610954,441.6023203,0,89.46443101,451.1882016,0,135.2797539,321.7771435,0,71.41233406,330.9354009
4.52,114,0,56.98073815,880.7676015,0,-4.504389826,862.5850493,0,91.83355562,764.7828712,0,30.10324137,746.0134998,0,134.7958617,434.81478,0,71.24605532,443.3264352,0,119.2448236,314.7092357,0,55.23156568,322.7853617
4.56,115,0,51.9895122,877.3396689,0,-10.30357645,862.1542392,0,81.18794882,759.8040238,0,18.62155982,744.0443294,0,116.4091348,429.0497718,0,52.72438728,436.4847632,0,102.8928539,308.6982587,0,38.75209156,315.6899403
4.6,116,0,46.83822728,874.1573235,0,-16.11681766,862.0046083,0,70.3138469,755.3462472,0,7.058028098,742.6331678,0,97.74840968,424.3213977,0,33.94696051,430.6775958,0,86.27075697,303.7583849,0,22.02086044,309.6636197
4.64,117,0,41.53895714,871.2280242,0,-21.93048822,862.1365075,0,59.23673691,751.4199896,0,-4.560250859,741.7833225,0,78.8618128,420.6414044,0,14.96193503,425.9169888,0,69.42607561,299.9014217,0,5.08544629,304.7185183
4.68,118,0,36.10412234,868.5586368,0,-27.73096188,862.5496275,0,47.98258169,748.0344534,0,-16.20604578,741.4967853,0,59.79798833,418.0191554,0,-4.182016867,422.2126152,0,52.40686909,297.1367832,0,-12.00606561,300.864362
4.72,119,0,30.54646123,866.1554178,0,-33.50464331,863.243,0,36.57775907,745.1975738,0,-27.85206092,741.7742279,0,40.60598266,416.4616093,0,-23.43582584,419.5717434,0,35.26159822,295.4714687,0,-29.20519375,298.1084622
4.76,120,0,24.879,864.024,0,-39.238,864.215,0,25.049,742.916,0,-39.471,742.615,0,21.33512824,415.9733027,0,-42.75014174,417.9992203,0,18.03900924,294.9100458,0,-46.46317645,296.4556987
