Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Orlando:LASI,,,Orlando:RASI,,,Orlando:LPSI,,,Orlando:RPSI,,,Orlando:Placa PI1,,,Orlando:Placa PI2,,,Orlando:Placa PI3,,,Orlando:Placa PI4,,,Orlando:Placa PD1,,,Orlando:Placa PD2,,,Orlando:Placa PD3,,,Orlando:Placa PD4,,,Orlando:Placa MI1,,,Orlando:Placa MI2,,,Orlando:Placa MI3,,,Orlando:Placa MI4,,,Orlando:Placa MD1,,,Orlando:Placa MD2,,,Orlando:Placa MD3,,,Orlando:Placa MD4,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
12,0,-121.539,-722.332,986.488,150.98,-717.48,975.782,,,,,,,-168.785,-758.98,454.883,-178.798,-793.091,517.616,-175.969,-831.203,417.523,-190.5,-857.252,475.9,133.074,-802.048,435.523,142.865,-858.276,443.018,123.235,-801.075,361.065,136.219,-864.804,369.516,-180.774,-693.394,790.932,,,,-180.35,-673.661,687.32,-198.285,-739.756,674.894,189.756,-742.86,762.016,,,,169.478,-747.219,660.375,,,
13,0,-121.387,-722.327,986.507,151.104,-717.322,975.737,,,,,,,-168.908,-758.877,454.924,-178.862,-793.173,517.62,-176.021,-831.117,417.469,-190.487,-857.227,475.799,133.191,-802.112,435.513,142.839,-858.291,442.995,123.345,-801.133,361.049,136.172,-864.863,369.482,-180.755,-693.468,791.054,,,,-180.347,-673.694,687.419,-198.345,-739.827,674.984,189.888,-742.868,762.052,,,,169.595,-747.238,660.404,,,
14,0,-121.279,-722.381,986.511,151.242,-717.337,975.729,,,,,,,-169.017,-758.807,454.962,-178.87,-793.215,517.593,-176.028,-831.109,417.454,-190.484,-857.253,475.769,133.217,-802.179,435.447,142.54,-857.858,443.152,123.4,-801.21,361.002,136.176,-864.931,369.432,-180.629,-693.424,791.185,,,,-180.36,-673.73,687.476,-198.355,-739.854,675.108,190.053,-742.922,762.094,,,,169.634,-747.21,660.422,,,
15,0,-121.163,-722.389,986.525,151.343,-717.383,975.714,,,,,,,-169.14,-758.808,455.014,-179.002,-793.243,517.618,-176.133,-831.078,417.492,-190.501,-857.25,475.792,133.299,-802.321,435.502,142.562,-858.021,443.148,123.449,-801.266,360.972,136.517,-865.546,369.454,-180.47,-693.406,791.356,,,,-180.447,-673.777,687.52,-198.351,-739.926,675.228,190.175,-742.93,762.144,,,,169.716,-747.229,660.403,,,
16,0,-121.014,-722.422,986.58,151.482,-717.39,975.745,,,,,,,-169.285,-758.805,455.097,-179.039,-793.317,517.69,-176.194,-831.035,417.514,-190.535,-857.291,475.763,133.268,-802.447,435.428,142.705,-858.215,443.157,123.532,-801.44,361.019,136.492,-865.695,369.447,-179.827,-692.876,791.428,,,,-180.466,-673.801,687.61,-198.369,-739.993,675.3,190.308,-743.195,762.424,,,,169.77,-747.221,660.38,,,
17,0,-120.859,-722.455,986.672,151.573,-717.335,975.728,,,,,,,-169.432,-758.775,455.181,-179.089,-793.379,517.651,-176.197,-831.047,417.399,-190.563,-857.335,475.755,133.304,-802.677,435.475,142.823,-858.458,443.289,123.607,-801.56,360.983,136.545,-865.865,369.573,-179.876,-692.999,791.522,,,,-180.456,-673.909,687.706,-198.421,-740.026,675.439,190.524,-743.263,762.421,,,,169.853,-747.301,660.318,,,
18,0,-120.79,-722.5,986.716,151.655,-717.352,975.744,,,,,,,-169.562,-758.779,455.227,-179.178,-793.453,517.683,-176.315,-831.028,417.438,-190.59,-857.45,475.718,133.349,-802.837,435.404,142.935,-858.701,443.388,123.754,-801.744,361.035,136.683,-866.059,369.646,-181.532,-694.76,791.822,,,,-180.5,-673.954,687.763,-198.439,-740.075,675.502,190.61,-743.098,762.193,,,,169.98,-747.365,660.334,,,
19,0,-120.734,-722.607,986.755,151.694,-717.248,975.714,,,,,,,-169.663,-758.811,455.182,-179.247,-793.546,517.676,-176.326,-831.048,417.446,-190.628,-857.509,475.716,133.444,-802.93,435.411,143.031,-858.896,443.458,123.97,-801.856,360.983,136.915,-866.3,369.791,-181.547,-694.935,791.9,,,,-180.551,-674.01,687.779,-198.445,-740.157,675.566,190.84,-743.194,762.272,,,,170.071,-747.356,660.27,,,
20,0,-120.726,-722.659,986.815,151.767,-717.332,975.772,,,,,,,-169.775,-758.87,455.268,-179.354,-793.662,517.747,-176.499,-831.101,417.463,-190.668,-857.592,475.696,133.605,-803.041,435.446,143.126,-858.996,443.454,124.075,-801.957,360.98,137.185,-866.532,369.932,-181.544,-694.937,791.9,,,,-180.588,-674.071,687.856,-198.51,-740.226,675.641,191.053,-743.242,762.324,,,,170.268,-747.376,660.264,,,
21,0,-120.631,-722.694,986.839,151.854,-717.307,975.756,,,,,,,-169.811,-758.992,455.432,-179.373,-793.842,517.756,-176.564,-831.19,417.449,-190.703,-857.695,475.635,133.718,-803.097,435.547,143.241,-859.069,443.536,124.183,-801.973,361.073,137.303,-866.614,369.948,-181.653,-695.214,792.046,,,,-180.674,-674.152,687.951,-198.535,-740.369,675.707,191.165,-743.291,762.375,,,,170.335,-747.343,660.259,,,
22,0,-120.516,-722.784,986.841,151.986,-717.345,975.805,,,,,,,-169.913,-759.095,455.453,-179.475,-793.939,517.73,-176.744,-831.252,417.419,-190.763,-857.841,475.642,133.803,-803.159,435.589,143.215,-859.193,443.591,124.226,-802.087,361.121,137.335,-866.759,370.019,-181.743,-695.319,792.115,,,,-180.738,-674.24,687.958,-198.544,-740.547,675.74,191.319,-743.331,762.398,,,,170.47,-747.367,660.266,,,
